id;song_title;album_title;year_of_release;month_of_release;type
94;Nashville Skyline Rag;Nashville Skyline;1969;5;Original
95;To Be Alone with You;Nashville Skyline;1969;5;Original
96;I Threw It All Away;Nashville Skyline;1969;5;Original
97;Peggy Day;Nashville Skyline;1969;5;Original
98;Lay Lady Lay;Nashville Skyline;1969;5;Original
99;One More Night;Nashville Skyline;1969;5;Original
100;Tell Me That It Isn't True;Nashville Skyline;1969;5;Original
101;Country Pie;Nashville Skyline;1969;5;Original
102;Tonight I'll Be Staying Here with You;Nashville Skyline;1969;5;Original
103;All the Tired Horses;Self Portrait;1970;6;Original
104;Alberta #1;Self Portrait;1970;6;Traditional
105;I Forgot More Than You’ll Ever Know ;Self Portrait;1970;6;Cover
106;Days of 49;Self Portrait;1970;6;Cover
107;Early Mornin’ Rain;Self Portrait;1970;6;Cover
108;In Search of Little Sadie;Self Portrait;1970;6;Traditional
109;Let It Be Me;Self Portrait;1970;6;Cover
110;Little Sadie;Self Portrait;1970;6;Traditional
111;Woogie Boogie;Self Portrait;1970;6;Original
112;Belle Isle;Self Portrait;1970;6;Traditional
113;Living the Blues;Self Portrait;1970;6;Original
114;Like a Rolling Stone;Self Portrait;1970;6;Original
115;Copper Kettle (The Pale Moonlight);Self Portrait;1970;6;Cover
116;Gotta Travel On;Self Portrait;1970;6;Cover
117;Blue Moon;Self Portrait;1970;6;Cover
118;The Boxer;Self Portrait;1970;6;Cover
119;Quinn the Eskimo (The Mighty Quinn);Self Portrait;1970;6;Original
120;Take Me As I Am (Or Let Me Go);Self Portrait;1970;6;Cover
121;Take a Message to Mary;Self Portrait;1970;6;Cover
122;It Hurts Me Too;Self Portrait;1970;6;Traditional
123;Minstrel Boy;Self Portrait;1970;6;Original
124;She Belongs to Me;Self Portrait;1970;6;Original
125;Wigwam;Self Portrait;1970;6;Original
126;Alberta #2;Self Portrait;1970;6;Traditional
127;If Not for You;New Morning;1970;10;Original
128;Day of the Locusts;New Morning;1970;10;Original
129;Time Passes Slowly;New Morning;1970;10;Original
130;Went to See the Gypsy;New Morning;1970;10;Original
131;Winterlude;New Morning;1970;10;Original
132;If Dogs Run Free;New Morning;1970;10;Original
133;New Morning;New Morning;1970;10;Original
134;Sign on the Window;New Morning;1970;10;Original
135;One More Weekend;New Morning;1970;10;Original
136;The Man in Me;New Morning;1970;10;Original
137;Three Angels;New Morning;1970;10;Original
138;Father of Night;New Morning;1970;10;Original
139;Main Title Theme (Billy);Pat Garrett & Billy the Kid;1973;7;Original
140;Cantina Theme (Workin' for the Law);Pat Garrett & Billy the Kid;1973;7;Original
141;Billy 1;Pat Garrett & Billy the Kid;1973;7;Original
142;Bunkhouse Theme;Pat Garrett & Billy the Kid;1973;7;Original
143;River Theme;Pat Garrett & Billy the Kid;1973;7;Original
144;Turkey Chase;Pat Garrett & Billy the Kid;1973;7;Original
145;Knockin' on Heaven's Door;Pat Garrett & Billy the Kid;1973;7;Original
146;Final Theme;Pat Garrett & Billy the Kid;1973;7;Original
147;Billy 4;Pat Garrett & Billy the Kid;1973;7;Original
148;Billy 7;Pat Garrett & Billy the Kid;1973;7;Original
149;Lily of the West;Dylan;1973;11;Traditional
150;Can't Help Falling in Love;Dylan;1973;11;Cover
151;Sarah Jane;Dylan;1973;11;Traditional
152;The Ballad of Ira Hayes;Dylan;1973;11;Cover
153;Mr. Bojangles;Dylan;1973;11;Cover
154;Mary Ann;Dylan;1973;11;Traditional
155;Big Yellow Taxi;Dylan;1973;11;Cover
156;A Fool Such as I;Dylan;1973;11;Cover
157;Spanish is the Loving Tongue;Dylan;1973;11;Cover
158;On a Night Like This;Planet Waves;1974;1;Original
159;Going, Going, Gone;Planet Waves;1974;1;Original
160;Tough Mama;Planet Waves;1974;1;Original
161;Hazel;Planet Waves;1974;1;Original
162;Something There Is About You;Planet Waves;1974;1;Original
163;Forever Young;Planet Waves;1974;1;Original
164;Dirge;Planet Waves;1974;1;Original
165;You Angel You;Planet Waves;1974;1;Original
166;Never Say Goodbye;Planet Waves;1974;1;Original
167;Wedding Song;Planet Waves;1974;1;Original
168;Tangled Up in Blue;Bloond on the Tracks;1975;1;Original
169;Simple Twist of Fate;Bloond on the Tracks;1975;1;Original
170;You're a Big Girl Now;Bloond on the Tracks;1975;1;Original
171;Idiot Wind;Bloond on the Tracks;1975;1;Original
172;You're Gonna Make Me Lonesome When You Go;Bloond on the Tracks;1975;1;Original
173;Meet Me in the Morning;Bloond on the Tracks;1975;1;Original
174;Lily, Rosemary and the Jack of Hearts;Bloond on the Tracks;1975;1;Original
175;If You See Her, Say Hello;Bloond on the Tracks;1975;1;Original
176;Shelter from the Storm;Bloond on the Tracks;1975;1;Original
177;Buckets of Rain;Bloond on the Tracks;1975;1;Original
178;Odds and Ends;The Basement Tapes;1975;6;Original
179;Orange Juice Blues (Blues for Breakfast);The Basement Tapes;1975;6;Cover
180;Million Dollar Bash;The Basement Tapes;1975;6;Original
181;Yazoo Street Scandal;The Basement Tapes;1975;6;Cover
182;Goin' To Acapulco;The Basement Tapes;1975;6;Original
